,Environment steps,Average Episode Cost
0,0,12.225
1,0,20.387638781362313
2,0,4.0623612186376885
3,80000,23.55625
4,80000,39.99601275349176
5,80000,7.116487246508239
6,160000,17.58125
7,160000,29.975648935621685
8,160000,5.186851064378314
9,240000,12.26875
10,240000,24.327598721255868
11,240000,0.20990127874413034
12,320000,7.99375
13,320000,18.8474079555505
14,320000,-2.8599079555505034
15,400000,4.0
16,400000,9.013181381403086
17,400000,-1.0131813814030872
18,480000,4.55625
19,480000,9.761024438100002
20,480000,-0.6485244381000013
21,560000,2.60625
22,560000,5.859927254483784
23,560000,-0.6474272544837841
24,640000,0.075
25,640000,0.22500000000000003
26,640000,-0.07500000000000002
27,720000,1.53125
28,720000,4.470345311486172
29,720000,-1.4078453114861724
30,800000,8.7125
31,800000,20.441046552889134
32,800000,-3.0160465528891316
33,880000,10.24375
34,880000,25.15820124140296
35,880000,-4.670701241402959
36,960000,9.44375
37,960000,24.905932056166627
38,960000,-6.018432056166626
39,1040000,12.0375
40,1040000,32.67156353956725
41,1040000,-8.596563539567255
42,1120000,9.78125
43,1120000,27.608798323394844
44,1120000,-8.046298323394842
45,1200000,13.56875
46,1200000,31.768861449743213
47,1200000,-4.631361449743213
48,1280000,11.331249999999999
49,1280000,25.529173030657514
50,1280000,-2.8666730306575117
51,1360000,14.524999999999999
52,1360000,39.80904607752828
53,1360000,-10.759046077528284
54,1440000,22.112499999999997
55,1440000,53.28295401948885
56,1440000,-9.05795401948885
57,1520000,14.125
58,1520000,30.50843783098422
59,1520000,-2.258437830984221
60,1600000,4.6937500000000005
61,1600000,12.716787704909402
62,1600000,-3.329287704909401
63,1680000,7.16875
64,1680000,19.37329089202112
65,1680000,-5.035790892021122
66,1760000,34.8
67,1760000,90.72210981031412
68,1760000,-21.122109810314114
69,1840000,29.04375
70,1840000,75.0865773255174
71,1840000,-16.99907732551739
72,1920000,16.34375
73,1920000,39.240141479313934
74,1920000,-6.55264147931393
75,2000000,19.39375
76,2000000,43.50346262709443
77,2000000,-4.715962627094428
78,2080000,12.60625
