,Environment steps,Average Episode Cost
237,6320000,29.5875
238,6320000,64.90417991599428
239,6320000,-5.7291799159942745
240,6400000,17.48125
241,6400000,43.50468894689709
242,6400000,-8.542188946897092
243,6480000,10.3
244,6480000,17.397345670932584
245,6480000,3.2026543290674168
246,6560000,23.26875
247,6560000,46.57957307756516
248,6560000,-0.042073077565151884
249,6640000,24.8125
250,6640000,47.2584220138089
251,6640000,2.366577986191105
252,6720000,17.8125
253,6720000,33.25685152127336
254,6720000,2.3681484787266385
255,6800000,10.19375
256,6800000,22.02137095473428
257,6800000,-1.6338709547342787
258,6880000,7.70625
259,6880000,16.573693027652894
260,6880000,-1.1611930276528928
261,6960000,15.0375
262,6960000,31.958978047586243
263,6960000,-1.8839780475862415
264,7040000,14.21875
265,7040000,27.31696755921172
266,7040000,1.120532440788283
267,7120000,17.29375
268,7120000,34.44844883833116
269,7120000,0.13905116166884124
270,7200000,15.58125
271,7200000,32.448184579873605
272,7200000,-1.2856845798736032
273,7280000,7.5875
274,7280000,16.47291187847876
275,7280000,-1.2979118784787613
276,7360000,12.518749999999999
277,7360000,30.528481244320595
278,7360000,-5.490981244320595
279,7440000,25.487499999999997
280,7440000,50.547014057890806
281,7440000,0.4279859421091903
282,7520000,17.43125
283,7520000,30.335735003672777
284,7520000,4.5267649963272225
285,7600000,5.5375
286,7600000,10.548010189093514
287,7600000,0.5269898109064854
288,7680000,10.825
289,7680000,23.295719209420895
290,7680000,-1.6457192094208954
291,7760000,8.8
292,7760000,19.313449782176434
293,7760000,-1.7134497821764352
294,7840000,8.16875
295,7840000,13.892984291240527
296,7840000,2.4445157087594733
297,7920000,10.0875
298,7920000,17.144211016122302
299,7920000,3.030788983877698
300,8000000,7.05625
301,8000000,13.71884719550069
302,8000000,0.39365280449930884
303,8080000,9.337499999999999
304,8080000,16.62598048041075
305,8080000,2.04901951958925
306,8160000,7.625
307,8160000,12.571594188785092
308,8160000,2.6784058112149065
309,8240000,7.6625
310,8240000,15.697082093611549
311,8240000,-0.3720820936115483
312,8320000,11.537500000000001
313,8320000,22.153675594410117
314,8320000,0.9213244055898859
315,8400000,8.49375
316,8400000,16.600523009831612
317,8400000,0.3869769901683875
318,8480000,4.6125
319,8480000,10.190784527756389
320,8480000,-0.9657845277563875
321,8560000,7.81875
322,8560000,15.298850813444684
323,8560000,0.3386491865553152
324,8640000,10.26875
325,8640000,20.754537341558468
326,8640000,-0.2170373415584681
327,8720000,11.05
328,8720000,23.19438324885187
329,8720000,-1.094383248851872
330,8800000,18.6625
331,8800000,37.898296847394015
332,8800000,-0.5732968473940119
333,8880000,14.8
334,8880000,28.14235973454668
335,8880000,1.457640265453321
336,8960000,12.69375
337,8960000,25.540421143629896
338,8960000,-0.15292114362989495
339,9040000,12.66875
340,9040000,27.261568494754254
341,9040000,-1.9240684947542532
342,9120000,10.68125
343,9120000,22.76360311914196
344,9120000,-1.4011031191419598
345,9200000,11.712499999999999
346,9200000,27.282814482793682
347,9200000,-3.8578144827936844
348,9280000,8.024999999999999
349,9280000,19.814465724317717
350,9280000,-3.764465724317718
351,9360000,5.56875
352,9360000,11.834352199955525
353,9360000,-0.6968521999555242
354,9440000,6.9624999999999995
355,9440000,13.619819267469822
356,9440000,0.3051807325301785
357,9520000,13.4125
358,9520000,25.9827751378837
359,9520000,0.8422248621163018
360,9600000,17.10625
361,9600000,34.433118398129345
362,9600000,-0.22061839812934814
363,9680000,12.618749999999999
364,9680000,27.81227212237969
365,9680000,-2.5747721223796898
366,9760000,10.943750000000001
367,9760000,20.18085984773114
368,9760000,1.7066401522688621
369,9840000,10.15625
370,9840000,18.591045988053985
371,9840000,1.721454011946017
372,9920000,7.7875
373,9920000,19.49922798437253
374,9920000,-3.9242279843725343
